Code,Cause,ISO3,Year,Sex,Age Group.2,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
490,Neonatal conditions,CHN,2009,MLE,0-1,9244636,64502.89,697.73,5834364,63110.8
1400,Congenital anomalies,CHN,2009,MLE,0-1,9244636,30607.31,331.08,2792536,30207.1
390,Lower respiratory infections,CHN,2009,MLE,0-1,9244636,21417.96,231.68,1922820,20799.3
110,Diarrhoeal diseases,CHN,2009,MLE,0-1,9244636,4672.49,50.54,440698.7,4767.07
1242,Paralytic ileus and intestinal obstruction,CHN,2009,MLE,0-1,9244636,1500.52,16.23,141744.1,1533.26
50,Syphilis,CHN,2009,MLE,0-1,9244636,1273.84,13.78,114479,1238.33
1575,Exposure to mechanical forces,CHN,2009,MLE,0-1,9244636,1110.33,12.01,99988.4,1081.58
170,Meningitis,CHN,2009,MLE,0-1,9244636,983.7,10.64,88216.84,954.25
1505,Sudden infant death syndrome,CHN,2009,MLE,0-1,9244636,928.6,10.04,83186.17,899.83
1150,"Cardiomyopathy, myocarditis, endocarditis",CHN,2009,MLE,0-1,9244636,855.66,9.26,76691.75,829.58
770,Leukaemia,CHN,2009,MLE,0-1,9244636,796.53,8.62,73769.72,797.97
1550,Falls,CHN,2009,MLE,0-1,9244636,699.55,7.57,63213.62,683.79
1530,Road injury,CHN,2009,MLE,0-1,9244636,645.39,6.98,57883.38,626.13
130,Whooping cough,CHN,2009,MLE,0-1,9244636,642.34,6.95,59802.91,646.89
180,Encephalitis,CHN,2009,MLE,0-1,9244636,603.7,6.53,54171.66,585.98
1140,Stroke,CHN,2009,MLE,0-1,9244636,578.7,6.26,51954.57,562
30,Tuberculosis,CHN,2009,MLE,0-1,9244636,563.08,6.09,50822.73,549.75
1570,Drowning,CHN,2009,MLE,0-1,9244636,478.08,5.17,42861.76,463.64
550,Protein-energy malnutrition,CHN,2009,MLE,0-1,9244636,399.96,4.33,45034.92,487.15
1540,Poisonings,CHN,2009,MLE,0-1,9244636,373.43,4.04,33508.13,362.46
160,Tetanus,CHN,2009,MLE,0-1,9244636,308.47,3.34,27759.65,300.28
751,Brain and nervous system cancers,CHN,2009,MLE,0-1,9244636,257.87,2.79,23286.02,251.89
150,Measles,CHN,2009,MLE,0-1,9244636,222.6,2.41,20123.6,217.68
970,Epilepsy,CHN,2009,MLE,0-1,9244636,196.6,2.13,22182.73,239.95
811,Thalassaemias,CHN,2009,MLE,0-1,9244636,196.28,2.12,25838.65,279.5
1620,Interpersonal violence,CHN,2009,MLE,0-1,9244636,174.5,1.89,15696.5,169.79
1560,"Fire, heat and hot substances",CHN,2009,MLE,0-1,9244636,165.95,1.8,14896.06,161.13
1270,Kidney diseases,CHN,2009,MLE,0-1,9244636,164.89,1.78,15059.1,162.9
100,HIV/AIDS,CHN,2009,MLE,0-1,9244636,115.94,1.25,10430.08,112.82
400,Upper respiratory infections,CHN,2009,MLE,0-1,9244636,105.68,1.14,17951.76,194.19
660,Liver cancer,CHN,2009,MLE,0-1,9244636,78.97,0.85,7094.68,76.74
190,Acute hepatitis B,CHN,2009,MLE,0-1,9244636,77.13,0.83,6917.05,74.82
1330,Skin diseases,CHN,2009,MLE,0-1,9244636,55.43,0.6,18336.66,198.35
745,Kidney cancer,CHN,2009,MLE,0-1,9244636,52.26,0.57,4809.78,52.03
800,Diabetes mellitus,CHN,2009,MLE,0-1,9244636,47.61,0.52,4265.4,46.14
186,Acute hepatitis A,CHN,2009,MLE,0-1,9244636,22.96,0.25,2065.1,22.34
320,Rabies,CHN,2009,MLE,0-1,9244636,18.15,0.2,1625.03,17.58
205,Acute hepatitis E,CHN,2009,MLE,0-1,9244636,4.99,0.05,447.21,4.84
742,Testicular cancer,CHN,2009,MLE,0-1,9244636,3.92,0.04,543.5,5.88
1580,Natural disasters,CHN,2009,MLE,0-1,9244636,3.13,0.03,282.29,3.05
1630,Collective violence and legal intervention,CHN,2009,MLE,0-1,9244636,3.12,0.03,280.55,3.03
140,Diphtheria,CHN,2009,MLE,0-1,9244636,1.71,0.02,153.1,1.66
340,Ascariasis,CHN,2009,MLE,0-1,9244636,1.56,0.02,146.75,1.59
200,Acute hepatitis C,CHN,2009,MLE,0-1,9244636,2.01,0.02,214.77,2.32
812,Sickle cell disorders and trait,CHN,2009,MLE,0-1,9244636,2.07,0.02,401.53,4.34
690,Melanoma and other skin cancers,CHN,2009,MLE,0-1,9244636,1.33,0.01,121.9,1.32
300,Dengue,CHN,2009,MLE,0-1,9244636,0.71,0.01,218.26,2.36
310,Trachoma,CHN,2009,MLE,0-1,9244636,0,0,0,0
315,Yellow fever,CHN,2009,MLE,0-1,9244636,0,0,0,0
350,Trichuriasis,CHN,2009,MLE,0-1,9244636,0,0,5.41,0.06
360,Hookworm disease,CHN,2009,MLE,0-1,9244636,0,0,72.05,0.78
362,Food-bourne trematodes,CHN,2009,MLE,0-1,9244636,0,0,0,0
365,Leprosy,CHN,2009,MLE,0-1,9244636,0,0,0,0
410,Otitis media,CHN,2009,MLE,0-1,9244636,0.01,0,1272.97,13.77
420,Maternal conditions,CHN,2009,MLE,0-1,9244636,0,0,0,0
60,Chlamydia,CHN,2009,MLE,0-1,9244636,0,0,0,0
70,Gonorrhoea,CHN,2009,MLE,0-1,9244636,0,0,0,0
80,Trichomoniasis,CHN,2009,MLE,0-1,9244636,0,0,0,0
85,Genital herpes,CHN,2009,MLE,0-1,9244636,0,0,0,0
220,Malaria,CHN,2009,MLE,0-1,9244636,0.39,0,42.37,0.46
230,African trypanosomiasis,CHN,2009,MLE,0-1,9244636,0,0,0,0
240,Chagas disease,CHN,2009,MLE,0-1,9244636,0,0,0,0
250,Schistosomiasis,CHN,2009,MLE,0-1,9244636,0,0,0.13,0
260,Leishmaniasis,CHN,2009,MLE,0-1,9244636,0,0,0.32,0
